"filename","samp_type","depth","colid","col","lwd"
"mzMLs/190715_Blk_KM1906U14-Blk_C.mzML","Blk","","Blk","#FF0000CC",2
"mzMLs/190715_Poo_TruePooFK180310_Full1.mzML","Poo","","Poo","#008080CC",2
"mzMLs/190715_Poo_TruePooFK180310_Full2.mzML","Poo","","Poo","#008080CC",2
"mzMLs/190715_Poo_TruePooFK180310_Full3.mzML","Poo","","Poo","#008080CC",2
"mzMLs/190715_Poo_TruePooFK180310_Half1.mzML","Poo","","Poo","#008080CC",2
"mzMLs/190715_Poo_TruePooFK180310_Half2.mzML","Poo","","Poo","#008080CC",2
"mzMLs/190715_Poo_TruePooFK180310_Half3.mzML","Poo","","Poo","#008080CC",2
"mzMLs/190715_Smp_FK180310S62C1-25m_A.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S62C1-25m_B.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S62C1-25m_C.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S62C1-DCM_A.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S62C1-DCM_B.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S62C1-DCM_C.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S64C1-25m_A.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S64C1-25m_B.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S64C1-25m_C.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S64C1-DCM_A.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S64C1-DCM_B.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S64C1-DCM_C.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S77C1-25m_A.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S77C1-25m_B.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S77C1-25m_C.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S77C1-DCM_A.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S77C1-DCM_B.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S77C1-DCM_C.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S80C1-25m_A.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S80C1-25m_B.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S80C1-25m_C.mzML","Smp","25m","25mSmp","#0000FFCC",1
"mzMLs/190715_Smp_FK180310S80C1-DCM_A.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S80C1-DCM_B.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Smp_FK180310S80C1-DCM_C.mzML","Smp","DCM","DCMSmp","#00FF00CC",1
"mzMLs/190715_Std_4uMStdsMix1InH2O_1.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_4uMStdsMix1InH2O_2.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_4uMStdsMix1InMatrix_1.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_4uMStdsMix1InMatrix_2.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_4uMStdsMix2InH2O_1.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_4uMStdsMix2InH2O_2.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_4uMStdsMix2InMatrix_1.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_4uMStdsMix2InMatrix_2.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_H2OinMatrix_1.mzML","Std","","Std","#000000CC",1
"mzMLs/190715_Std_H2OinMatrix_2.mzML","Std","","Std","#000000CC",1
